,game,model,experiment,episode,metric,value
22,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_8,Success,0.0
23,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_8,Request Count,6.0
24,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_8,Parsed Request Count,6.0
25,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_8,Violated Request Count,0.0
26,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_8,Request Success Ratio,1.0
27,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_8,Main Score,0.0
28,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_8,repeats guess,0.0
29,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_8,total guess repetitions,0.0
30,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_2,Aborted,0.0
31,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_2,Lose,1.0
32,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_2,Success,0.0
33,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_2,Request Count,8.0
34,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_2,Parsed Request Count,8.0
35,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_2,Violated Request Count,0.0
36,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_2,Request Success Ratio,1.0
37,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_2,Main Score,0.0
38,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_2,repeats guess,0.0
39,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_2,total guess repetitions,0.0
40,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_5,Aborted,1.0
41,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_5,Lose,0.0
42,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_5,Success,0.0
43,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_5,Request Count,8.0
44,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_5,Parsed Request Count,7.0
45,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_5,Violated Request Count,1.0
46,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_5,Request Success Ratio,0.88
47,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_5,Main Score,
48,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_5,repeats guess,
49,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_5,total guess repetitions,
50,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_9,Aborted,0.0
51,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_9,Lose,1.0
52,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_9,Success,0.0
53,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_9,Request Count,6.0
54,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_9,Parsed Request Count,6.0
55,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_9,Violated Request Count,0.0
56,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_9,Request Success Ratio,1.0
57,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_9,Main Score,0.0
58,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_9,repeats guess,0.0
59,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_9,total guess repetitions,0.0
60,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_7,Aborted,0.0
61,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_7,Lose,1.0
62,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_7,Success,0.0
63,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_7,Request Count,6.0
64,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_7,Parsed Request Count,6.0
65,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_7,Violated Request Count,0.0
66,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_7,Request Success Ratio,1.0
67,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_7,Main Score,0.0
68,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_7,repeats guess,0.0
69,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_7,total guess repetitions,0.0
70,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_1,Aborted,0.0
71,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_1,Lose,1.0
72,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_1,Success,0.0
73,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_1,Request Count,6.0
74,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_1,Parsed Request Count,6.0
75,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_1,Violated Request Count,0.0
76,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_1,Request Success Ratio,1.0
77,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_1,Main Score,0.0
78,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_1,repeats guess,0.0
79,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_1,total guess repetitions,0.0
80,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_6,Aborted,0.0
81,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_6,Lose,1.0
82,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_6,Success,0.0
83,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_6,Request Count,6.0
84,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_6,Parsed Request Count,6.0
85,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_6,Violated Request Count,0.0
86,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_6,Request Success Ratio,1.0
87,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_6,Main Score,0.0
88,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_6,repeats guess,0.0
89,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_6,total guess repetitions,0.0
90,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_0,Aborted,0.0
91,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_0,Lose,1.0
92,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_0,Success,0.0
93,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_0,Request Count,6.0
94,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_0,Parsed Request Count,6.0
95,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_0,Violated Request Count,0.0
96,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_0,Request Success Ratio,1.0
97,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_0,Main Score,0.0
98,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_0,repeats guess,0.0
99,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_0,total guess repetitions,0.0
100,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_4,Aborted,0.0
101,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_4,Lose,0.0
102,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_4,Success,1.0
103,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_4,Request Count,5.0
104,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_4,Parsed Request Count,5.0
105,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_4,Violated Request Count,0.0
106,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_4,Request Success Ratio,1.0
107,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_4,Main Score,50.0
108,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_4,repeats guess,0.0
109,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_4,total guess repetitions,0.0
110,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_12,Aborted,0.0
111,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_12,Lose,1.0
112,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_12,Success,0.0
113,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_12,Request Count,6.0
114,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_12,Parsed Request Count,6.0
115,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_12,Violated Request Count,0.0
116,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_12,Request Success Ratio,1.0
117,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_12,Main Score,0.0
118,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_12,repeats guess,0.0
119,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_12,total guess repetitions,0.0
120,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_10,Aborted,0.0
121,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_10,Lose,1.0
122,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_10,Success,0.0
123,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_10,Request Count,7.0
124,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_10,Parsed Request Count,6.0
125,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_10,Violated Request Count,1.0
126,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_10,Request Success Ratio,0.86
127,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_10,Main Score,0.0
128,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_10,repeats guess,0.0
129,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_10,total guess repetitions,0.0
130,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_3,Aborted,0.0
131,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_3,Lose,1.0
132,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_3,Success,0.0
133,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_3,Request Count,6.0
134,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_3,Parsed Request Count,6.0
135,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_3,Violated Request Count,0.0
136,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_3,Request Success Ratio,1.0
137,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_3,Main Score,0.0
138,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_3,repeats guess,0.0
139,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_3,total guess repetitions,0.0
140,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_8,Aborted,0.0
141,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_8,Lose,1.0
142,wordle,llama3.1-sft-e1-_E3_D30001_REV-t0.0--llama3.1-sft-e1-_E3_D30001_REV-t0.0,1_medium_frequency_words_no_clue_no_critic,episode_8,Success,0.0
